Method, Threads, Runtime, Error, Utility
3, 1, 86, 0.0133485, 6.22718
3, 2, 78, 0.0263903, 5.24385
3, 3, 111, 0.0257867, 5.27723
3, 4, 139, 0.0553604, 4.175
3, 5, 170, 0.0492294, 4.34434
3, 6, 190, 0.0473104, 4.4017
3, 7, 197, 0.0583192, 4.09988
3, 8, 235, 0.0559183, 4.16054
4, 1, 87, 0.0122867, 6.34675
4, 2, 72, 0.0306775, 5.02668
4, 3, 89, 0.0494042, 4.33922
4, 4, 93, 0.0495748, 4.33425
4, 5, 136, 0.0691163, 3.85483
4, 6, 145, 0.0549295, 4.18628
4, 7, 171, 0.0623528, 4.0034
4, 8, 230, 0.06288, 3.99125
Base, Baseline, 82, 0, 0